鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
土城區,車位,新北市土城區學府路一段１２１號地下三層,0.0,,,,1130903,土地0建物1車位1,地下三層,十四層,其他,見使用執照,鋼筋混凝土造,0820824,52.46,0,0,0,無,無,2038000,,坡道平面,52.46,2038000,建物坐落地號：板院段645地號；僅車位交易；,RPRNMLQKRHJGFAF58DA,0.0,0.0,0.0,無,0010
汐止區,土地,水源段249地號,26.34,都市：其他:保護區,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,121150,4599,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPJRHJGFDF48DA,0.0,0.0,0.0,無,
三重區,房地(土地+建物),新北市三重區光興街２２號二樓,26.99,住,,,1130909,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660511,84.0,2,1,1,有,無,10650000,126786,,0.0,0,,RPTNMLNKRHJGFGF09DA,84.0,0.0,0.0,無,0011
永和區,房地(土地+建物)+車位,新北市永和區秀朗路二段１０３號八樓之３,16.36,住,,,1130901,土地1建物1車位1,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1070205,156.0,2,2,2,有,有,29000000,232868,坡道平面,43.49,2800000,本案總價為新台幣2900萬元整，並同意拆算土地及建物價格如下：土地交易總價為新台幣18154000元整，建物交易總價為新台幣10846000元整,RPWPMLNJRHJGFHF96DA,67.18,4.1,5.37,有,
樹林區,土地,三多段363地號,42.7,工,,,1130903,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,46838,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLLKRHJGFIF66DA,0.0,0.0,0.0,無,0012
板橋區,房地(土地+建物),新北市板橋區長江路三段１１６號四樓,7.08,住,,,1130905,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,22.65,3,1,1,有,無,3425800,151249,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPPNMLMKRHJGFAF08EA,22.65,0.0,0.0,無,
新莊區,房地(土地+建物),新北市新莊區民安西路３８８號地下一樓之十三,4.03,住,,,1130901,土地1建物1車位0,地下一層,二十一層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0850311,21.27,0,1,0,有,有,360000,16925,,0.0,0,,RPSNMLMKRHJGFBF48EA,9.65,0.0,0.0,有,
烏來區,房地(土地+建物),新北市烏來區新烏路五段８０巷５號三樓,17.95,住,,,1130904,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651005,97.15,3,1,1,有,無,2400000,24704,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLLKRHJGFCF68EA,97.15,0.0,0.0,無,
新莊區,房地(土地+建物),新北市新莊區新泰路４１７號十一樓之三,5.18,住,,,1130903,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880503,35.34,1,0,1,有,有,5980000,169213,,0.0,0,,RPOOMLLKRHJGFBF97DA,21.32,0.0,4.47,有,0013
五股區,土地,五股坑二段1343地號,318.25,都市：其他:保護區,,,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,891112,2800,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNKRHJGFBF18DA,0.0,0.0,0.0,無,
