鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
橋頭區,租賃房屋,高雄市橋頭區經武路５２號１０樓之５,0.0,,,,1130810,土地0建物1車位0,十層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1071220,110.38,2,2,2,有,有,有,20000,181,,0.0,0,租金總額含管理費；未租賃車位，建物登記含有車位面積；,RPSNMLPKQHJGFFE98CC,整棟(戶)出租,有,1130811~1150810,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
鳳山區,租賃房屋,高雄市鳳山區過埤路６５７號１１樓之２,0.0,,,,1130805,土地0建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1071123,57.2,1,0,1,有,有,有,12000,210,,0.0,0,,RPQNMLPKQHJGFGE88CC,獨立套房,有,1130810~1140809,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
鳳山區,租賃房屋,高雄市鳳山區新生街１０１之６號,0.0,,,,1130729,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0630409,16.68,6,0,6,有,無,有,10000,600,,0.0,0,其他公電；含增建或未登記建物；,RPRNMLPKQHJGFGE98CC,分租套房,無,1130801~1140731,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般代管
鳳山區,租賃房屋,高雄市鳳山區南江街３６巷３號,0.0,,,,1130723,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0620615,64.32,6,2,3,有,無,無,18000,280,,0.0,0,,RPSNMLPKQHJGFGE09CC,整棟(戶)出租,無,1130801~1150731,無,,
鳳山區,租賃房屋,高雄市鳳山區北榮街６０號三樓,0.0,,,,1130807,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730117,59.11,2,1,1,有,無,無,7500,127,,0.0,0,續租案件；,RPTNMLPKQHJGFGE56CC,整棟(戶)出租,無,1130810~1140809,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
鳳山區,租賃房屋,高雄市鳳山區五甲一路２５５巷４１號,0.0,,,,1130806,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0761110,123.27,5,2,3,有,無,有,23500,191,,0.0,0,續租案件；,RPUNMLPKQHJGFGE66CC,整棟(戶)出租,無,1130901~1140831,無,冷氣、熱水器、洗衣機,社會住宅代管
鳳山區,租賃房屋,高雄市鳳山區善和街２５號十一樓,0.0,,,,1130728,土地0建物1車位0,十一層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850105,100.13,3,2,2,有,有,有,19000,190,,0.0,0,,RPVNMLPKQHJGFGE76CC,整棟(戶)出租,有,1130728~1140727,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
鳳山區,租賃房屋,高雄市鳳山區建國路三段３５８號四樓,0.0,,,,1130727,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,0940630,209.60999999999999,4,2,2,有,有,有,22000,105,,0.0,0,未租賃車位，建物登記含有車位面積；,RPWNMLPKQHJGFGE86CC,整棟(戶)出租,有,1130810~1140809,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
鳳山區,租賃房屋,高雄市鳳山區建國路三段３５８號十四樓,0.0,,,,1130728,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,0940630,209.60999999999999,4,2,2,有,有,有,19800,94,,0.0,0,未租賃車位，建物登記含有車位面積；,RPXNMLPKQHJGFGE96CC,整棟(戶)出租,有,1130820~1140819,有,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅代管
鳳山區,租賃房屋+車位,高雄市鳳山區瑞興路５３號６樓,0.0,,,,1130807,土地0建物1車位1,六層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1111229,127.09,2,2,2,有,有,無,21000,165,坡道平面,0.0,0,租金總額含管理費；,RPOOMLPKQHJGFGE78CC,整棟(戶)出租,有,1130810~1140809,有,冷氣、熱水器,社會住宅代管
鳳山區,租賃房屋,高雄市鳳山區青年路一段２６２巷３１號五樓,0.0,,,,1130801,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770116,103.84,3,2,2,有,無,有,13500,130,,0.0,0,,RPQOMLPKQHJGFGE98CC,整棟(戶)出租,無,1130801~1140731,無,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
鳳山區,租賃房屋,高雄市鳳山區文興街２號９樓之１１,0.0,,,,1130807,土地0建物1車位0,九層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土,1111205,25.96,1,0,1,有,有,有,14000,539,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPROMLPKQHJGFGE09CC,獨立套房,有,1130807~1140731,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
鳳山區,租賃房屋,高雄市鳳山區鳳誠路１７號四樓,0.0,,,,1130729,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0890105,84.01,3,2,2,有,無,有,14500,173,,0.0,0,續租案件；,RPSOMLPKQHJGFGE56CC,整棟(戶)出租,無,1130901~1140831,無,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
鳥松區,租賃房屋,高雄市鳥松區大埤路力行巷１０６號１３樓,0.0,,,,1130731,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890121,70.59,1,0,1,有,有,有,10000,142,,0.0,0,續租案件；,RPPNMLPKQHJGFIE98CC,獨立套房,有,1130801~1140731,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
仁武區,租賃房屋,高雄市仁武區大同一街４７號,0.0,,,,1130805,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0640612,89.33,2,2,1,有,無,有,10000,112,,0.0,0,續租案件；,RPQNMLPKQHJGFIE09CC,整棟(戶)出租,無,1130831~1140830,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
