鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
南區,房地(土地+建物)+車位,臺中市南區南和一街２號７樓之２,14.97,住,,,1130721,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830718,96.2,2,2,1,有,有,8500000,88358,坡道機械,0.0,0,,RPXOMLSJQHJGFAB88DA,58.04,0.0,9.35,有,0091
南區,房地(土地+建物)+車位,臺中市南區建國南路一段２４８號六樓之５,9.76,住,,,1130713,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890505,106.03,2,2,1,有,有,9800000,92427,坡道平面,16.67,0,陽台外推；,RPPNMLOKQHJGFAB67DA,54.17,0.0,8.86,有,
中區,房地(土地+建物),臺中市中區興民街４３巷２號,38.5,商,,,1130727,土地3建物1車位0,全,二層,透天厝,住家用,磚木造,,56.45,2,2,2,有,無,6600000,116918,,0.0,0,,RPVTMLOKQHJGFAB88DA,55.45,1.0,0.0,無,0092
東區,房地(土地+建物)+車位,臺中市東區公園東路５５號九樓之１,9.16,商,,,1130726,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1111029,111.56,2,2,1,有,有,13800000,123700,坡道平面,36.37,0,,RPRUMLOKQHJGFAB58DA,47.37,0.0,3.15,有,0093
南區,房地(土地+建物)+車位,臺中市南區三民西路２４７號５樓,9.18,商,,,1130725,土地2建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830420,139.75,3,2,2,有,有,12300000,88014,坡道平面,0.0,0,遮雨棚其他增建；,RPSNMLLLQHJGFAB77DA,103.15,0.0,2.97,有,
西區,房地(土地+建物),臺中市西區華美西街一段５７號,27.0,住,,,1130726,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0771104,112.08000000000001,0,0,0,無,無,15500000,138294,,0.0,0,,RPXNMLOJRHJGFAB48DA,87.76,0.0,0.0,無,
南區,房地(土地+建物),臺中市南區三民西路３５７之１號７樓,10.9,商,,,1130706,土地2建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941011,118.55000000000001,3,2,2,有,有,13600000,114720,,0.0,0,,RPPNMLQJRHJGFAB87DA,74.35,0.0,13.38,有,
東區,房地(土地+建物),臺中市東區大勇街６２號５樓之２,15.62,商,,,1130719,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821130,105.0,3,2,2,有,有,8500000,80952,,0.0,0,,RPOOMLQJRHJGFAB87DA,75.98,0.0,4.4,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區建和路一段３９７號十二樓之５,17.37,都市：其他:第三種住宅區。,,,1130726,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040416,120.55,2,2,1,有,有,13680000,121970,坡道機械,15.77,900000,其他增建；,RPPQMLQLPHJGFBB28DA,60.39,2.42,7.49,有,
北區,土地,邱厝子段34-8地號,11.73,都市：其他:第二種住宅區,,,1130708,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1550000,132140,,0.0,0,包含公共設施保留地用地；,RPXOMLKMPHJGFBB38DA,0.0,0.0,0.0,無,0094
