鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
南投市,土地,內新段1317-1地號,86.41,,鄉村區,乙種建築用地,1130722,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1280000,14813,,0.0,0,,RPTNMLMKRHJGFAM09DA,0.0,0.0,0.0,無,
草屯鎮,房地(土地+建物),南投縣草屯鎮仁愛街６７巷９號,79.0,都市：其他:住宅區,,,1130727,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690917,75.78,4,2,2,有,無,5800000,76537,,0.0,0,頂樓加蓋；其他增建；,RPSOMLTKQHJGFBM17DA,75.78,0.0,0.0,無,
竹山鎮,房地(土地+建物),南投縣竹山鎮集山路三段２０７之９號,116.08,住,,,1130725,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070829,226.11,0,0,0,無,無,14180000,62713,,0.0,0,,RPPNMLLJQHJGFDM68DA,222.3,0.0,3.81,無,
名間鄉,土地,埔中段180地號,267.58,,一般農業區,丙種建築用地,1130716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,1495,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLPKPHJGFAM66DA,0.0,0.0,0.0,無,
南投市,房地(土地+建物),南投縣南投市吉利路４１７巷３３號,331.47,,山坡地保育區,丙種建築用地,1130701,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0920710,281.07,5,2,4,有,無,16000000,56925,,0.0,0,,RPQNMLKLQHJGFAM58DA,255.6,0.0,25.47,無,
草屯鎮,房地(土地+建物),南投縣草屯鎮新生路２４３號,89.0,都市：其他:住宅區,,,1130721,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130403,184.54,4,3,5,有,無,19400000,105126,,0.0,0,,RPQNMLTJQHJGFBM76DA,173.88,0.0,10.66,無,
草屯鎮,土地,土城段169地號,107.86,,特定農業區,農牧用地,1130712,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,927,,0.0,0,農作物；,RPPNMLSKRHJGFBM76DA,0.0,0.0,0.0,無,
埔里鎮,房地(土地+建物),南投縣埔里鎮枇杷一巷２號,139.39,,特定農業區,甲種建築用地,1130722,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0640915,55.51,3,2,1,有,無,5500000,99081,,0.0,0,,RPPNMLQKRHJGFCM66DA,55.51,0.0,0.0,無,
埔里鎮,土地,桃米坑段5-647地號,1995.0,,山坡地保育區,農牧用地,1130625,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,351,,0.0,0,,RPOOMLKKPHJGFCM48DA,0.0,0.0,0.0,無,
竹山鎮,土地,吉祥段105地號,1562.46,農,,,1130628,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,550000,352,,0.0,0,因移轉所生之土地增值稅、土地整地、廢棄物清運、鑑界等全部費用由承買人負擔。,RPUNMLTJRHJGFDM47DA,0.0,0.0,0.0,無,
