編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLLLQHJGFDK88CC,28,93.60,住家用,鋼筋混凝土造,85年12月14日,二十層,,
RPQNMLLLQHJGFDK88CC,28,11.01,防空避難室，變電室，機械室，車道，水箱，梯間,鋼筋混凝土造,85年12月14日,二十層,,
RPQNMLLLQHJGFDK88CC,28,17.13,樓梯間、機械室、水箱,鋼筋混凝土造,85年12月14日,二十層,,
RPPNMLLLQHJGFFK98CC,11,87.79,住家用,ＲＣ造,102年7月3日,五層,,
RPPNMLLLQHJGFFK98CC,11,42.42,住家用,ＲＣ造,102年7月3日,五層,,
RPPNMLLLQHJGFDK78CC,9,206.88,住家用,鋼筋混凝土造,104年12月4日,三層,,
RPQNMLQLQHJGFBK56CC,17,19.77,住家用,鋼筋混凝土造,96年7月16日,十層,,
RPQNMLQLQHJGFBK56CC,17,10.81,共有部分,鋼筋混凝土造,96年7月16日,十層,,
RPQNMLMLQHJGFBK78CC,28,19.43,住家用,鋼筋混凝土造,85年10月30日,五層,,
RPQNMLMLQHJGFBK78CC,29,6.96,住家用,鋼筋混凝土造,85年1月30日,五層,,
RPSNMLQLQHJGFDK96CC,10,72.90,集合住宅,鋼筋混凝土造,103年9月29日,十五層,,
RPSNMLQLQHJGFDK96CC,10,32.40,共有部分,鋼筋混凝土造,103年9月29日,十五層,,
RPSNMLQLQHJGFDK96CC,10,15.73,共有部分,鋼筋混凝土造,103年9月29日,十五層,,
RPRNMLQLQHJGFBK66CC,26,20.09,住家用,鋼筋混凝土造,87年6月26日,六層,,
RPRNMLQLQHJGFBK66CC,26,7.07,配電室，電錶室，樓梯，電梯，樓梯間，電梯間，管理員室，蓄水箱，停車空間,鋼筋混凝土造,87年6月26日,六層,,
RPRNMLQLQHJGFBK66CC,26,4.19,通道,鋼筋混凝土造,87年6月26日,六層,,
RPPNMLQLQHJGFFK86CC,2,45.96,集合住宅,鋼筋混凝土造,111年7月19日,五層,,
RPPNMLQLQHJGFFK86CC,2,12.78,樓梯間、電梯、梯廳、走廊外廊、停車空間,鋼筋混凝土造,111年7月19日,五層,,
RPVNMLQLQHJGFFK47CC,14,60.38,住家用,ＲＣ造,99年5月14日,五層,,
