編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLOKQHJGFBG38CC,30,7.69,共有部分,鋼筋混凝土造,83年3月19日,五層,,
RPRNMLTKQHJGFBG09CC,29,37.74,住家用,鋼筋混凝土造,84年12月12日,八層,,
RPRNMLTKQHJGFBG09CC,29,12.79,共有部分,鋼筋混凝土造,84年12月12日,八層,,
RPSNMLTKQHJGFBG56CC,41,71.30,住家用,鋼筋混凝土造,72年10月7日,五層,,
RPSNMLTKQHJGFBG56CC,41,12.10,共有部分,鋼筋混凝土造,72年10月7日,五層,,
RPPNMLTKQHJGFBG88CC,33,22.92,住家用,鋼筋混凝土造,80年11月21日,七層,,
RPPNMLTKQHJGFBG88CC,33,5.87,共有部分,鋼筋混凝土造,80年11月21日,七層,,
RPPNMLPKQHJGFBG48CC,,18.92,商業用,磚造,,一層,,
RPPNMLKLQHJGFBG08CC,33,42.07,住家用,鋼筋混凝土造,80年7月11日,四層,,
RPSNMLKLQHJGFBG38CC,30,90.30,住家用,鋼筋混凝土造,83年5月9日,七層,,
RPRNMLKLQHJGFBG28CC,47,197.83,農舍,鋼筋混凝土加強磚造,66年3月1日,一層,,
RPUNMLTKQHJGFBG76CC,37,16.00,住家用,鋼筋混凝土造,77年1月12日,四層,,
RPPNMLLLQHJGFAG08CC,29,89.30,住家用,鋼筋混凝土造,84年5月27日,五層,,
RPSNMLKLQHJGFBG38CC,30,13.11,共有部分,鋼筋混凝土造,83年5月9日,七層,,
RPPNMLLLQHJGFAG08CC,29,3.41,見其他登記事項,鋼筋混凝土造,84年5月27日,五層,,
RPQNMLKLQHJGFBG18CC,4,1470.45,一般零售業、餐飲場所,鋼骨鋼筋混凝土造,109年11月30日,二層,,
RPPNMLLLQHJGFBG18CC,19,13.00,住商用,鋼筋混凝土造,94年10月7日,四層,,
RPRNMLLLQHJGFBG38CC,4,68.61,集合住宅,鋼筋混凝土造,109年12月24日,十四層,,
RPRNMLLLQHJGFBG38CC,4,45.40,本共有部分之項目有：防空避難室兼停車空間、管理委員使用空間、樓梯間、陽台等四項,鋼筋混凝土造,109年12月24日,十四層,,
RPRNMLQLQHJGFBG88CC,42,68.17,住家用,鋼筋混凝土造,71年10月23日,五層,,
RPRNMLLLQHJGFBG38CC,4,18.05,本共有部分之項目有：走道、電梯間、樓梯間等３項。,鋼筋混凝土造,109年12月24日,十四層,,
RPRNMLQLQHJGFBG88CC,42,6.88,共有部分,鋼筋混凝土造,71年10月26日,五層,,
RPQNMLQLQHJGFAG68CC,30,85.65,住家用,鋼筋混凝土造,83年9月16日,七層,,
RPQNMLQLQHJGFAG68CC,30,14.42,停車場、防空避難室、共同使用部份,鋼筋混凝土造,83年9月16日,七層,,
RPQNMLQLQHJGFAG68CC,30,2.03,梯間、共同使用部份,鋼筋混凝土造,83年9月16日,七層,,
RPSNMLTLQHJGFAG56CC,1,60.86,集合住宅,鋼筋混凝土造,112年6月14日,五層,,
RPSNMLTLQHJGFAG56CC,,26.14,本共有部分之項目有停車空間、樓梯間等２項。,鋼筋混凝土造,,五層,,
RPTNMLTLQHJGFAG66CC,28,20.76,住家用,鋼筋混凝土造,85年8月30日,十二層,,
RPTNMLTLQHJGFAG66CC,28,8.96,梯間、發電機室、配電室、排煙室、儲水槽、消防泵浦、共同使用部份,鋼筋混凝土造,85年8月30日,十二層,,
RPQNMLTLQHJGFAG98CC,27,85.61,住家用,鋼筋混凝土造,86年4月1日,十三層,,
RPWNMLTLQHJGFAG96CC,43,25.93,住家用,鋼筋混凝土造,70年10月16日,十一層,,
RPWNMLTLQHJGFAG96CC,43,7.72,走道,鋼筋混凝土造,70年10月16日,十一層,,
RPQNMLTLQHJGFAG98CC,27,6.82,梯間、共同使用部份,鋼筋混凝土造,86年4月1日,十三層,,
RPQNMLTLQHJGFAG98CC,27,11.40,梯間、共同使用部份,鋼筋混凝土造,86年4月1日,十三層,,
RPQNMLTLQHJGFAG98CC,27,8.21,停車場、蓄水池、發電機室、電氣室、消防□浦室、車道、台電配電室、電信室、活動中心、共同使用部份,鋼筋混凝土造,86年4月1日,十三層,,
