編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXOMLMKQHJGFAH09CC,4,33.00,住宅（附屬停車空間）、住宅、梯間,鋼筋混凝土造,109年10月23日,五層,,
RPUPMLMKQHJGFAH88CC,46,67.10,住家用,鋼筋混凝土造,67年8月14日,四層,,
RPQPMLMKQHJGFAH48CC,29,23.86,住家用,鋼骨造,84年9月26日,十五層,,
RPQPMLMKQHJGFAH48CC,29,11.35,共有部分,鋼骨造,84年9月26日,十五層,,
RPQPMLMKQHJGFAH48CC,29,3.80,共有部分,鋼骨造,84年9月26日,十五層,,
RPVPMLMKQHJGFAH98CC,28,27.41,住家用,鋼筋混凝土造,85年1月18日,十七層,,
RPVPMLMKQHJGFAH98CC,28,12.56,共有部分,鋼筋混凝土造,85年1月18日,十七層,,
RPSPMLMKQHJGFAH68CC,29,87.08,住家用,鋼筋混凝土造,84年9月2日,八層,,
RPSPMLMKQHJGFAH68CC,29,11.99,共有部分,鋼筋混凝土造,84年9月2日,八層,,
RPOPMLPLQHIGFBH68CC,10,56.44,集合住宅,鋼筋混凝土造,100年9月5日,十四層,,
RPOPMLPLQHIGFBH68CC,10,17.44,本建物主要用途為：樓梯間、電梯、蓄水池、機械室、水箱等五項。,鋼筋混凝土造,100年9月5日,十四層,,
RPOPMLPLQHIGFBH68CC,10,50.63,本建物用途為：緊急發電機房、電信機房、台電配電場所、防空避難室兼停車空間、消防泵浦機房、梯間、污水機房、管委會使用空間、梯廳、管理員室、門廊、電梯、廣場式開放空間等１３項。,鋼筋混凝土造,100年9月5日,十五層,,
RPQNMLMKQHJGFBH38CC,21,27.80,托兒所、安親班、補習〈訓練〉班、梯間,鋼筋混凝土造,92年10月8日,二層,,
RPPPMLPLQHIGFBH78CC,23,40.54,住家用,鋼筋混凝土造,88年5月28日,十四層,,
RPPPMLPLQHIGFBH78CC,23,6.49,共有部分,鋼筋混凝土造,88年5月28日,十四層,,
RPPPMLPLQHIGFBH78CC,23,10.21,共有部分,鋼筋混凝土造,88年5月28日,十四層,,
RPRNMLMKQHJGFBH48CC,29,23.04,住家用,鋼筋混凝土造,84年5月11日,七層,,
RPRNMLMKQHJGFBH48CC,29,12.10,共有部分,鋼筋混凝土造,84年5月11日,七層,,
RPTNMLMKQHJGFBH68CC,34,128.48,住家用,鋼筋混凝土造,79年6月27日,三層,,
RPUNMLMKQHJGFBH78CC,8,62.35,集合住宅,鋼筋混凝土造,105年2月19日,十五層,,
RPUNMLMKQHJGFBH78CC,8,27.95,本共有部分之項目有：防空避難室兼停車空間、梯間、蓄水池、發電機房、消防泵浦室、雨水回收機房、污水機房、停車空間、水景機房、台電配電場所、電信室、垃圾冷藏處理室、管委會使用空間、門廊、車道、機械室、水箱、排煙室、梯廳等共十九項。,鋼筋混凝土造,105年2月19日,十五層,,
RPSNMLMKQHJGFBH58CC,21,27.80,托兒所、安親班、補習〈訓練〉班、梯間,鋼筋混凝土造,92年10月8日,二層,,
RPVNMLMKQHJGFBH88CC,6,18.78,工業區員工宿舍,鋼骨造,107年3月6日,五層,,
RPWNMLMKQHJGFBH98CC,5,51.43,工業社區（社區住宅）,鋼筋混凝土造,108年10月17日,五層,,
RPWNMLMKQHJGFBH98CC,5,10.85,本共有部分之項目有：停車空間、電梯機房、樓梯間、自來水塔及梯廳等五項。,鋼筋混凝土造,108年10月17日,五層,,
RPQOMLMKQHJGFBH48CC,20,81.01,住家用,鋼筋混凝土造,93年9月24日,十三層,,
RPQOMLMKQHJGFBH48CC,20,11.24,共有部分,鋼筋混凝土造,93年9月24日,十三層,,
RPQOMLMKQHJGFBH48CC,20,17.86,共有部分,鋼筋混凝土造,93年9月24日,十三層,,
RPPOMLMKQHJGFBH38CC,31,55.73,住家用,鋼筋混凝土造,82年3月8日,七層,,
RPPOMLMKQHJGFBH38CC,31,10.95,共有部分,鋼筋混凝土造,82年3月8日,七層,,
RPXNMLMKQHJGFBH09CC,6,18.78,工業區員工宿舍,鋼骨造,107年3月6日,五層,,
RPROMLMKQHJGFBH58CC,30,20.47,住家用,鋼筋混凝土造,83年5月2日,七層,,
RPROMLMKQHJGFBH58CC,30,6.05,共有部分,鋼筋混凝土造,83年5月2日,七層,,
RPROMLMKQHJGFBH58CC,30,7.20,共有部分,鋼筋混凝土造,83年5月2日,七層,,
RPWOMLMKQHJGFBH09CC,30,99.90,住家用,鋼筋混凝土造,83年9月24日,十六層,,
RPWOMLMKQHJGFBH09CC,30,5.11,共有部分,鋼筋混凝土造,83年9月24日,十六層,,
RPWOMLMKQHJGFBH09CC,30,14.10,共有部分,鋼筋混凝土造,83年9月24日,十六層,,
RPSOMLMKQHJGFBH68CC,21,114.07,住家用,鋼筋混凝土造,92年7月10日,十四層,,
RPTOMLMKQHJGFBH78CC,25,82.78,集合住宅,鋼筋混凝土造,88年9月10日,十四層,,
RPSOMLMKQHJGFBH68CC,21,25.65,共有部分,鋼筋混凝土造,92年7月10日,十四層,,
RPTOMLMKQHJGFBH78CC,25,4.71,共有部分,鋼筋混凝土造,88年9月10日,十四層,,
RPSOMLMKQHJGFBH68CC,21,48.98,共有部分,鋼筋混凝土造,92年7月10日,十四層,,
RPTOMLMKQHJGFBH78CC,25,14.16,共有部分,鋼筋混凝土造,88年9月10日,十四層,,
RPTOMLMKQHJGFBH78CC,25,.00,共有部分,鋼筋混凝土造,88年9月10日,十四層,,
RPVOMLMKQHJGFBH98CC,5,65.50,集合住宅,鋼筋混凝土造,108年9月16日,七層,,
RPUOMLMKQHJGFBH88CC,4,65.12,工業社區（社區住宅）,鋼筋混凝土造,109年11月25日,五層,,
