鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,9.61,商,,,1130819,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.11,2,2,1,有,無,8750000,89753,坡道平面,27.99,1200000,,RPPNMLRLQHJGFAP86CB,勝麗MVP,B2棟10F號,
斗六市,房地(土地+建物),雲林縣斗六市長沙街、棒球十三街,13.11,商,,,1130819,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.77,3,2,2,有,無,10190000,89567,,0.0,0,,RPQNMLRLQHJGFAP96CB,勝麗MVP,B5棟10F號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市斗六六路與斗六五路交叉口,23.26,住,,,1130812,土地1建物1車位1,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.42,2,2,2,有,無,10030000,94266,坡道平面,22.81,1300000,,RPPNMLSLQHJGFAP07DB,青森綠川,E6號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮吉安街75號對面,21.11,住,,,1130817,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.5,2,2,2,有,無,11600000,110509,坡道平面,32.01,1600000,,RPPNMLKMQHJGFDP56CB,晶硯麗禧,A7-11F號,
西螺鎮,房地(土地+建物),雲林縣西螺鎮頂湳,72.89,,鄉村區,乙種建築用地,1130817,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,116.21,3,2,3,有,無,7700000,66259,,0.0,0,,RPPNMLMJRHJGFCP09CB,璟馥-2,B棟13號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市文生路,30.45,,鄉村區,乙種建築用地,1130817,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.21,3,2,2,有,無,9290000,86652,一樓平面,0.0,900000,,RPQNMLNJRHJGFAP09CB,聚星,V7棟7樓棟0號,
土庫鎮,房地(土地+建物)+車位,雲林縣土庫鎮仁愛街,26.02,,鄉村區,乙種建築用地,1130817,土地1建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,89.92,2,1,1,有,無,5710000,63501,一樓平面,13.22,0,,RPQNMLNJRHJGFDP76CB,寬庭馬光綻二期,1棟A6號,
土庫鎮,房地(土地+建物),雲林縣土庫鎮仁愛街,95.79,,鄉村區,乙種建築用地,1130812,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.97,4,1,5,有,無,9500000,60909,,0.0,0,,RPSNMLNJRHJGFDP96CB,寬庭馬光綻一期,A棟9號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市文治街,25.96,住,,,1130812,土地4建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,151.9,3,2,2,有,無,13750000,101890,坡道平面,30.2,1350000,該戶合約書簽約土地持分面積25.96平方公尺,RPPNMLOJRHJGFAP09CB,鄉林?雲峰,B8棟11F號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市文治街,26.35,住,,,1130816,土地4建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,153.7,3,2,2,有,無,13700000,100000,坡道平面,30.2,1350000,該戶合約書簽約土地持分面積26.34平方公尺,RPQNMLOJRHJGFAP56CB,鄉林?雲峰,A6棟13F號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市文治街,19.69,住,,,1130818,土地4建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,122.49,2,2,2,有,無,10100000,96435,坡道平面,30.2,1200000,該戶合約書簽約土地持分面積19.68平方公尺,RPRNMLOJRHJGFAP66CB,鄉林?雲峰,A9棟15F號,
斗六市,房地(土地+建物),雲林縣斗六市中興路90巷,103.62,,鄉村區,乙種建築用地,1130820,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,172.39,4,2,4,有,無,11000000,63809,,0.0,0,,RPQNMLPJRHJGFAP66CB,鼎峰富,D3號,
北港鎮,房地(土地+建物),雲林縣北港鎮臨新湖路、聖母八街,108.65,住,,,1130813,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,175.02,4,1,4,有,無,12300000,70278,,0.0,0,,RPPNMLPJRHJGFEP96CB,禾楓君悅 -北港綻二期,A棟3a號,
北港鎮,房地(土地+建物),雲林縣北港鎮臨新湖路、聖母八街,119.48,住,,,1130817,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,178.17,4,1,4,有,無,12000000,67351,,0.0,0,,RPPNMLKKRHJGFEP56CB,禾楓君悅 -北港綻二期,B棟11號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市中興路90巷,59.77,,鄉村區,乙種建築用地,1130817,土地7建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.82,2,2,2,有,無,5950000,55112,一樓平面,22.56,700000,,RPPNMLNKRHJGFAP09CB,鼎峰富,B棟3B2號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興西八路上靠近永興路,180.28,住,,,1130819,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,288.29,4,3,5,有,無,21800000,75618,,0.0,0,,RPRNMLNKRHJGFDP96CB,宇荃至美,B棟1號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市棒球十一街,97.93,住,,,1130820,土地3建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,240.51,5,3,6,有,無,28580000,118831,,0.0,0,,RPPNMLSKRHJGFAP96CB,穩喬11墅,A3棟0號,
