編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPOMLPJQHJGFAT96DA,,43.19,本共有部分之項目有停車空間、消防機房、電信室、安全梯樓梯間、昇降機道、梯廳、機械室梯間、電梯機房梯間,鋼筋混凝土造,113年5月29日,六層,,持分移轉
RPWNMLNKRHJGFAT57DA,50,113.06,住商用,鋼筋混凝土加強磚造,64年1月15日,二層,一層 二層 騎樓,全筆移轉
RPTOMLQLQHJGFAT67DA,,74.16,住家用,鋼筋混凝土加強磚造,,二層,一層 二層,全筆移轉
RPQNMLSKRHJGFFT08EA,30,134.80,住家用,鋼筋混凝土造,83年11月1日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPPNMLPJRHJGFDT37EA,43,121.09,農舍,加強磚造,70年2月14日,二層,一層 二層 屋頂突出物 騎樓,全筆移轉
RPPNMLTKPHJGFAT27DA,44,98.26,住家用,加強磚造,69年5月22日,二層,一層 二層 屋頂突出物,全筆移轉
RPOOMLNLQHJGFAT86DA,,103.74,住商用,加強磚造,,二層,一層 二層 騎樓,全筆移轉
RPQNMLSLQHJGFAT47DA,29,89.33,住家用,鋼筋混凝土造,84年6月28日,十三層,六層 陽台,全筆移轉
RPQNMLRJRHJGFAT27DA,4,102.54,集合住宅,鋼筋混凝土造,109年7月24日,五層,四層 陽台,全筆移轉
RPQNMLSLQHJGFAT47DA,29,21.41,共同部份,鋼筋混凝土造,84年6月28日,十三層,,持分移轉
RPQNMLRJRHJGFAT27DA,4,42.34,停車空間、安全梯、電梯、梯廳、樓梯間,鋼筋混凝土造,109年7月24日,五層,,持分移轉
RPVNMLMJRHJGFAT27DA,47,99.84,住商用,鋼筋混凝土加強磚造,66年3月12日,二層,一層 二層 騎樓,全筆移轉
RPOOMLMLQHJGFCT96DA,15,216.46,住家用,鋼筋混凝土造,99年1月14日,三層,一層 二層 三層 陽台,全筆移轉
