編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLMKQHJGFCE28CC,25,12.99,共有部份,鋼骨造,88年2月9日,三十九層,,
RPWNMLMKQHJGFBE68CC,45,66.47,,鋼筋混凝土造,68年10月2日,五層,,
RPSNMLMKQHJGFCE38CC,30,82.88,住家用,鋼筋混凝土造,83年3月16日,十六層,,
RPSNMLMKQHJGFCE38CC,30,27.25,見使用執照,鋼筋混凝土造,83年3月16日,十六層,,
RPTNMLMKQHJGFCE48CC,42,88.30,,鋼筋混凝土造,71年11月10日,五層,,
RPTNMLMKQHJGFCE48CC,42,5.49,,鋼筋混凝土造,71年11月10日,五層,,
RPUNMLMKQHJGFCE58CC,32,75.98,住家用,鋼筋混凝土造,81年12月16日,十二層,,
RPUNMLMKQHJGFCE58CC,32,12.38,見使用執照,鋼筋混凝土造,81年12月16日,十二層,,
RPPNMLMKQHJGFCE08CC,56,10.64,住家用,加強磚造,57年3月30日,一層,,
RPVNMLMKQHJGFCE68CC,17,88.63,住商用,鋼筋混凝土結構造,96年1月26日,十五層,,
RPVNMLMKQHJGFCE68CC,17,32.86,共有部份,鋼筋混凝土結構造,96年1月26日,十五層,,
RPVNMLMKQHJGFBE58CC,43,112.37,,鋼筋混凝土造,70年4月1日,五層,,
RPQNMLMKQHJGFDE28CC,42,30.27,,鋼筋混凝土造,71年4月1日,十三層,,
RPQNMLMKQHJGFDE28CC,42,7.91,,鋼筋混凝土造,71年4月1日,十三層,,
RPPNMLMKQHJGFDE18CC,18,13.29,商業用,鋼筋混凝土造,95年7月26日,十層,,
RPPNMLMKQHJGFDE18CC,,9.92,防空避難室兼停車空間,鋼筋混凝土造,,十層,,
RPRNMLMKQHJGFDE38CC,18,8.76,商業用,鋼筋混凝土造,95年7月26日,十層,,
RPRNMLMKQHJGFDE38CC,,7.32,防空避難室兼停車空間,鋼筋混凝土造,,十層,,
RPTNMLMKQHJGFDE58CC,23,313.25,住商用,鋼筋混凝土造,90年6月15日,十四層,,
RPTNMLMKQHJGFDE58CC,23,69.79,見使用執照,鋼筋混凝土造,90年6月15日,十四層,,
RPSNMLMKQHJGFDE48CC,18,12.27,商業用,鋼筋混凝土造,95年7月26日,十層,,
RPSNMLMKQHJGFDE48CC,,9.78,防空避難室兼停車空間,鋼筋混凝土造,,十層,,
RPVNMLMKQHJGFDE78CC,37,51.80,,鋼筋混凝土造,76年5月16日,四層,,
RPUNMLMKQHJGFDE68CC,3,73.33,集合住宅,鋼筋混凝土,110年7月26日,二十二層,,
RPPOMLMKQHJGFDE28CC,49,13.22,,鋼筋混凝土造,64年12月15日,三層,,
RPUNMLMKQHJGFDE68CC,3,60.48,本共有部分之項目有防空避難室兼停車空間、停車空間、梯廳、特安梯、排煙室、緊急升降機、管道、防災中心、車道、緩衝空間、廁所、垃圾暫存室、管委會使用空間、頂蓋型開放空間、升降機、門廊、警衛室、伸縮縫、樓梯間、陽台等項。,鋼筋混凝土,110年7月26日,二十二層,,
RPWNMLMKQHJGFDE88CC,29,24.83,住家用,鋼筋混凝土造,84年6月15日,二十一層,,
RPOOMLMKQHJGFDE18CC,3,69.94,集合住宅,鋼筋混凝土,110年6月30日,十五層,,
RPWNMLMKQHJGFDE88CC,29,11.67,見使用執照,鋼筋混凝土造,84年6月15日,二十一層,,
RPOOMLMKQHJGFDE18CC,3,44.53,本共有部分之項目有防空避難室兼停車空間、樓梯間、門廳、管委會使用空間、機械室及水箱等項。,鋼筋混凝土,110年6月30日,十五層,,
RPQOMLMKQHJGFDE38CC,19,85.53,住家用,鋼筋混凝土造,94年6月14日,十四層,,
RPQOMLMKQHJGFDE38CC,19,33.77,見使用執照,鋼筋混凝土造,94年6月14日,十四層,,
RPROMLMKQHJGFDE48CC,30,83.18,住家用,鋼筋混凝土造,83年2月22日,六層,,
RPROMLMKQHJGFDE48CC,30,13.27,見使用執照,磚造,83年2月22日,六層,,
RPSOMLMKQHJGFDE58CC,23,85.44,住家用,鋼筋混凝土造,90年4月18日,二十四層,,
RPSOMLMKQHJGFDE58CC,23,73.24,見使用執照,鋼筋混凝土造,90年4月18日,二十四層,,
RPTOMLMKQHJGFDE68CC,31,96.44,住家用,鋼筋混凝土造,82年5月13日,十三層,,
RPTOMLMKQHJGFDE68CC,31,17.86,見使用執照,鋼筋混凝土造,82年5月13日,十三層,,
RPUOMLMKQHJGFDE78CC,25,24.44,住家用,鋼筋混凝土造,88年7月31日,十四層,,
RPVOMLMKQHJGFDE88CC,57,79.55,住家用,加強磚造,57年1月23日,二層,,
RPQNMLMKQHJGFEE38CC,18,14.55,辦公室,鋼筋混凝土造,95年6月26日,十一層,,
RPUOMLMKQHJGFDE78CC,25,8.70,見使用執照,鋼筋混凝土造,88年7月31日,十四層,,
RPQNMLMKQHJGFEE38CC,18,6.81,防空避難室，停車空間，樓梯間，機械室，水箱,鋼筋混凝土造,95年6月26日,十一層,,
RPQNMLMKQHJGFEE38CC,18,3.13,防空避難室，停車空間,鋼筋混凝土造,95年6月26日,十一層,,
RPRNMLMKQHJGFEE48CC,18,14.64,辦公室,鋼筋混凝土造,95年6月26日,十一層,,
RPRNMLMKQHJGFEE48CC,18,7.15,防空避難室，停車空間，樓梯間，機械室，水箱,鋼筋混凝土造,95年6月26日,十一層,,
RPRNMLMKQHJGFEE48CC,18,3.13,防空避難室，停車空間,鋼筋混凝土造,95年6月26日,十一層,,
RPSNMLMKQHJGFEE58CC,18,14.55,辦公室,鋼筋混凝土造,95年6月26日,十一層,,
RPSNMLMKQHJGFEE58CC,18,7.08,防空避難室，停車空間，樓梯間，機械室，水箱,鋼筋混凝土造,95年6月26日,十一層,,
RPSNMLMKQHJGFEE58CC,18,3.13,防空避難室，停車空間,鋼筋混凝土造,95年6月26日,十一層,,
RPPNMLMKQHJGFEE28CC,24,94.23,住家用,見使用執照,89年1月24日,十四層,,
RPPNMLMKQHJGFEE28CC,24,50.53,住家用,見使用執照,89年1月24日,十四層,,
RPVNMLMKQHJGFEE88CC,43,92.58,,鋼筋混凝土造,70年11月20日,五層,,
RPTNMLMKQHJGFEE68CC,17,8.76,辦公室,鋼筋混凝土造,96年6月4日,十三層,,
RPTNMLMKQHJGFEE68CC,17,2.11,共用部分,鋼筋混凝土造,96年6月4日,十三層,,
RPWNMLMKQHJGFEE98CC,2,49.69,集合住宅,鋼筋混凝土,111年4月6日,十五層,,
RPTNMLMKQHJGFEE68CC,17,4.33,共用部分,鋼筋混凝土造,96年6月4日,十三層,,
RPWNMLMKQHJGFEE98CC,2,26.55,本共有部分之項目有：防空避難室兼停車空間、門廊、停車空間及車道、樓梯間等４項。,鋼筋混凝土,111年4月6日,十五層,,
RPUNMLMKQHJGFEE78CC,17,14.16,辦公室,鋼筋混凝土造,96年6月4日,十三層,,
RPUNMLMKQHJGFEE78CC,17,2.60,共用部分,鋼筋混凝土造,96年6月4日,十三層,,
RPUNMLMKQHJGFEE78CC,17,8.65,共用部分,鋼筋混凝土造,96年6月4日,十三層,,
RPOOMLMKQHJGFEE28CC,17,8.70,辦公室,鋼筋混凝土造,96年6月4日,十三層,,
RPOOMLMKQHJGFEE28CC,17,2.11,共用部分,鋼筋混凝土造,96年6月4日,十三層,,
RPOOMLMKQHJGFEE28CC,17,2.82,共用部分,鋼筋混凝土造,96年6月4日,十三層,,
RPROMLMKQHJGFEE58CC,24,538.71,商業用,見使用執照,89年7月3日,二十九層,,
RPROMLMKQHJGFEE58CC,24,91.71,見使用執照,見使用執照,89年7月3日,二十九層,,
RPROMLMKQHJGFEE58CC,24,85.32,見使用執照,見使用執照,89年7月3日,二十九層,,
RPQOMLMKQHJGFEE48CC,20,14.53,見使用執照,見使用執照,93年4月13日,十層,,
RPQOMLMKQHJGFEE48CC,20,6.84,見使用執照,見使用執照,93年4月13日,十層,,
RPQOMLMKQHJGFEE48CC,20,2.87,見使用執照,見使用執照,93年4月13日,,,
RPXNMLMKQHJGFEE09CC,17,8.70,辦公室,鋼筋混凝土造,96年6月4日,十三層,,
RPXNMLMKQHJGFEE09CC,17,2.11,共用部分,鋼筋混凝土造,96年6月4日,十三層,,
RPXNMLMKQHJGFEE09CC,17,4.41,共用部分,鋼筋混凝土造,96年6月4日,十三層,,
RPSOMLMKQHJGFEE68CC,17,8.86,辦公室,鋼筋混凝土造,96年6月4日,十三層,,
RPSOMLMKQHJGFEE68CC,17,2.12,共用部分,鋼筋混凝土造,96年6月4日,十三層,,
RPSOMLMKQHJGFEE68CC,17,5.33,共用部分,鋼筋混凝土造,96年6月4日,十三層,,
RPPOMLMKQHJGFEE38CC,8,46.98,集合住宅,鋼筋混凝土,106年1月23日,十五層,,
RPPOMLMKQHJGFEE38CC,8,23.18,本共有部分之項目有防空避難室兼停車空間、樓梯間、門廳、車道、公共服務空間、梯廳、外廊、梯間、水箱、機械室等１０項。,鋼筋混凝土,106年1月23日,十五層,,
RPVOMLMKQHJGFEE98CC,20,184.37,住商用,鋼筋混凝土造,93年12月30日,十四層,,
RPTOMLMKQHJGFEE78CC,23,21.34,住家用,見使用執照,90年9月7日,六層,,
RPTOMLMKQHJGFEE78CC,23,11.57,見使用執照,見使用執照,90年9月7日,六層,,
RPUOMLMKQHJGFEE88CC,20,82.64,住家用,鋼筋混凝土造,93年12月27日,十三層,,
RPUOMLMKQHJGFEE88CC,20,31.38,見使用執照,鋼筋混凝土造,93年12月27日,十三層,,
RPWOMLMKQHJGFEE09CC,24,115.47,住家用,鋼筋混凝土結構造,89年4月11日,十層,,
RPWOMLMKQHJGFEE09CC,24,60.45,見使用執照,見使用執照,89年4月11日,十層,,
RPQNMLMKQHJGFFE48CC,30,83.96,住家用,鋼筋混凝土造,83年8月10日,十一層,,
RPQNMLMKQHJGFFE48CC,30,38.21,共有部份,鋼筋混凝土造,83年8月10日,十一層,,
RPQPMLMKQHJGFEE58CC,17,19.85,住家用,鋼筋混凝土造,96年12月10日,四層,,
RPXOMLMKQHJGFEE56CC,29,32.19,住家用,鋼筋混凝土造,84年10月19日,二十一層,,
RPXOMLMKQHJGFEE56CC,29,15.06,見使用執照,鋼筋混凝土造,84年10月19日,二十一層,,
RPRPMLMKQHJGFEE68CC,43,64.92,集中住宅,鋼筋混凝土造,70年8月1日,五層,,
RPSPMLMKQHJGFEE78CC,35,162.52,,鋼筋混凝土造,78年5月23日,四層,,
RPOPMLMKQHJGFEE38CC,30,67.89,住商用,鋼筋混凝土造,83年10月27日,十三層,,
RPSNMLMKQHJGFFE68CC,2,45.43,集合住宅,鋼筋混凝土造,111年12月2日,二十二層,,
