鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮校椅一路,41.28,住,,,1130820,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.7,3,2,2,有,無,12420000,109069,一樓平面,17.58,1500000,,RPPNMLTLQHJGFDK86CB,幸福雄郡NO16,5F-B號,
苑裡鎮,房地(土地+建物)+車位,苗栗縣苑裡鎮慈和街31號旁,35.73,住,,,1130813,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,121.62,3,2,2,有,無,8950000,71961,其他,7.67,750000,,RPRNMLTLQHJGFCK07DB,城市光點3.0,B棟3樓B1號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮光復路480號旁,16.65,住,,,1130811,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.37,2,2,1,有,無,12650000,136827,坡道平面,27.88,1500000,,RPPNMLKMQHJGFDK68CB,弘峻築南大苑,A1棟11F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮光復路480號旁,24.34,住,,,1130814,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.0,3,2,2,有,無,17150000,129979,坡道平面,26.75,1650000,,RPRNMLKMQHJGFDK88CB,弘峻築南大苑,B1棟2F號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市日新街,14.25,商,,,1130815,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.32,3,2,2,有,無,17940000,130892,坡道平面,24.63,1750000,,RPPNMLLJRHJGFFK78CB,築上惠友,C6棟3F號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市日新街,14.25,商,,,1130815,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.32,3,2,2,有,無,18850000,136228,坡道平面,24.63,2000000,,RPQNMLLJRHJGFFK88CB,築上惠友,C6棟2F號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市日新街,14.54,商,,,1130813,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.7,3,2,2,有,無,21540000,154597,坡道平面,24.63,2050000,,RPTNMLLJRHJGFFK56CB,築上惠友,D3棟12F號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市日新街,13.95,商,,,1130820,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.73,3,2,2,有,無,20920000,155822,坡道平面,24.63,2050000,,RPUNMLLJRHJGFFK66CB,築上惠友,C1棟9F號,
頭份市,房地(土地+建物),苗栗縣頭份市頭份258之1號附近顯會段232地號,12.62,住,,,1130814,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,55.54,1,1,1,有,無,6510000,117213,,0.0,0,,RPQNMLNJRHJGFFK09CB,潮堂,A棟1-7F號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市頭份258之1號附近顯會段232地號,12.6,住,,,1130819,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.67,1,1,1,有,無,8800000,133309,坡道平面,36.16,1400000,,RPTNMLNJRHJGFFK76CB,潮堂,A棟11-8F號,
