鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
岡山區,土地,嘉興段555地號,254.5,,特定農業區,農牧用地,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,7859,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLTJRHJGFFE66DA,0.0,0.0,0.0,無,
彌陀區,土地,港段333地號,56.97,農,,,1130906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,79758,1400,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLMKRHJGFFE56DA,0.0,0.0,0.0,無,
鳳山區,房地(土地+建物),高雄市鳳山區瑞隆東路２０９巷１號六樓,14.18,住,,,1130905,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780810,105.58,3,2,2,有,有,4000000,37886,,0.0,0,,RPWNMLLKRHJGFGE09DA,74.4,0.0,8.8,有,
路竹區,土地,福善段1384地號,1368.0,,一般農業區,農牧用地,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3877500,2834,,0.0,0,,RPRNMLQJRHJGFJE66DA,0.0,0.0,0.0,無,
六龜區,土地,仙人圳段19地號,1303.93,,特定農業區,農牧用地,1130908,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,383,,0.0,0,,RPXOMLLKRHJGFKE07DA,0.0,0.0,0.0,無,0010
梓官區,土地,嘉好段1219地號,76.71,,特定農業區,農牧用地,1130901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,19554,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLKRHJGFFE38EA,0.0,0.0,0.0,無,
苓雅區,房地(土地+建物),高雄市苓雅區四維三路５７巷３７號二樓之１３,3.9,商,,,1130905,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0770915,48.7,1,1,1,有,有,3650000,74949,,0.0,0,,RPTOMLLKRHJGFBE38DA,33.41,1.22,2.75,有,
小港區,土地,大林段197地號,65.0,住,,,1130906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5013300,77128,,0.0,0,,RPWOMLKKRHJGFCE68DA,0.0,0.0,0.0,無,
小港區,土地,丹山段690地號,39.93,住,,,1130911,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3020000,75632,,0.0,0,,RPTNMLLKRHJGFCE38DA,0.0,0.0,0.0,無,0011
左營區,土地,新民段86-2地號,20.86,住,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4420000,211889,,0.0,0,,RPPOMLKKRHJGFEE18DA,0.0,0.0,0.0,無,
左營區,房地(土地+建物),高雄市左營區大中二路６２４巷７號十三樓之１,8.03,住,,,1130906,土地1建物1車位0,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841020,102.17,3,2,2,有,有,6180000,60487,,0.0,0,,RPXOMLMKRHJGFEE56DA,69.41,2.4,8.3,有,
楠梓區,房地(土地+建物),高雄市楠梓區旗楠路１２６巷１１號三樓,9.09,商,,,1130906,土地1建物1車位0,三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020529,116.57,3,2,2,有,有,4900000,42035,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTPMLMKRHJGFEE88DA,71.28,0.86,7.64,有,0012
仁武區,房地(土地+建物)+車位,高雄市仁武區京文街８８號十一樓,11.44,住,,,1130904,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100105,95.16,2,1,1,有,有,6560000,68937,坡道平面,21.48,0,,RPRNMLLKRHJGFIE78DA,41.46,0.0,4.8,有,0013
林園區,土地,福德段419地號,94.82,都市：其他:住宅區,,,1130909,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1147200,12099,,0.0,0,,RPPNMLOKRHJGFLE56DA,0.0,0.0,0.0,無,0014
前鎮區,土地,鎮東段1278-16地號,61.0,住,,,1130910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3843000,63000,,0.0,0,政府機關標讓售；,RPPNMLNKRHJGFCE28EA,0.0,0.0,0.0,無,
楠梓區,房地(土地+建物),高雄市楠梓區壽民路２０３號,28.95,住,,,1130906,土地1建物1車位0,一層，騎樓，地下層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700127,114.04,1,1,1,有,無,2700000,23676,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQKRHJGFEE88EA,105.95,8.09,0.0,無,
鼓山區,房地(土地+建物),高雄市鼓山區美術東四路４５８號六樓之１８,6.09,商,,,1130903,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980325,62.989999999999995,1,1,1,有,有,6300000,100016,,0.0,0,,RPQNMLOJRHJGFAE08DA,41.73,1.28,0.0,有,0015
苓雅區,房地(土地+建物),高雄市苓雅區福安路４８７號,72.0,住,,,1130906,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0620621,96.44,3,2,2,有,無,11000000,114061,,0.0,0,,RPPNMLQKRHJGFBE38DA,96.44,0.0,0.0,無,0016
三民區,房地(土地+建物),高雄市三民區昌富街５７號十樓之３,17.19,住,,,1130904,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820924,100.74000000000001,3,2,2,有,有,3560000,35338,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLPJRHJGFDE98DA,74.25,0.82,7.22,有,0017
三民區,車位,自立一路８５巷１０號等公共設施,6.32,都市：其他:第二種特定商業專用區,,,1130906,土地1建物1車位1,,,住宅大樓(11層含以上有電梯),,,,38.24,0,0,0,無,有,850000,,坡道平面,38.24,850000,僅車位交易；,RPROMLMKRHJGFDE48DA,0.0,0.0,0.0,有,0018
三民區,土地,雄中段14-1地號,1708.19,都市：其他:特定商業專用區,,,1130910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,756000000,442574,,0.0,0,政府機關標讓售；,RPWNMLQKRHJGFDE66DA,0.0,0.0,0.0,無,
楠梓區,建物,高雄市楠梓區宏毅三路４巷４１號,0.0,,,,1130902,土地0建物1車位0,全,一層,透天厝,住家用,磚造,0571126,68.59,5,1,2,有,無,5850000,85289,,0.0,0,建物坐落地號：油舍段28地號；親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；其他增建；未登記建物；地上權房屋；,RPVNMLPJRHJGFEE09DA,68.59,0.0,0.0,無,
楠梓區,土地,楠梓段二小段41地號,11.0,工,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,330000,30000,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLNKRHJGFEE78DA,0.0,0.0,0.0,無,
岡山區,房地(土地+建物),高雄市岡山區中山北路１３８號七樓之９,4.55,都市：其他:道路用地,,,1130904,土地2建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0821125,44.910000000000004,1,1,1,有,有,3500000,77934,,0.0,0,,RPOPMLKKRHJGFFE28DA,31.34,0.57,3.15,有,
岡山區,房地(土地+建物),高雄市岡山區大德一路１０１巷２號十二樓,13.73,住,,,1130910,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831120,111.92,3,2,2,有,有,2800000,25018,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLLKRHJGFFE78DA,83.52,0.0,3.91,有,
橋頭區,土地,興樹段132地號,7.79,住,,,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,353640,45397,,0.0,0,,RPSOMLMKRHJGFFE78DA,0.0,0.0,0.0,無,0019
橋頭區,房地(土地+建物),高雄市橋頭區公園南街１１巷３弄１１號,64.03,,一般農業區,甲種建築用地,1130903,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0850907,167.38,4,2,3,有,有,6000000,35847,,0.0,0,,RPPNMLQKRHJGFFE78DA,155.24,0.0,12.14,無,
大樹區,土地,學城段1127地號,855.66,,一般農業區,遊憩用地,1130912,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,22777920,26620,,0.0,0,,RPUOMLKKRHJGFGE88DA,0.0,0.0,0.0,無,
路竹區,土地,東安段1224-2地號,49.41,住,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3200000,64764,,0.0,0,,RPUNMLMJRHJGFJE56DA,0.0,0.0,0.0,無,
美濃區,土地,美濃段3040地號,537.5,,特定農業區,農牧用地,1130909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,1860,,0.0,0,,RPPNMLNKRHJGFKE98DA,0.0,0.0,0.0,無,
美濃區,土地,竹頭角段2990地號,112.0,,鄉村區,乙種建築用地,1130913,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,750000,6696,,0.0,0,,RPPNMLSKRHJGFKE86DA,0.0,0.0,0.0,無,
大寮區,土地,昭明段789地號,34.16,都市：其他:道路用地,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,360000,10539,,0.0,0,,RPSNMLMJRHJGFLE56DA,0.0,0.0,0.0,無,
前鎮區,土地,鎮昌段23-106地號,35.0,住,,,1130911,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3451000,98600,,0.0,0,政府機關標讓售；,RPQNMLQKRHJGFCE68EA,0.0,0.0,0.0,無,
三民區,房地(土地+建物),高雄市三民區鼎中路６０３巷１５弄２號,82.64,住,,,1130907,土地1建物1車位0,全,二層,透天厝,,加強磚造,0690506,71.28,3,2,2,有,無,7700000,108025,,0.0,0,,RPRNMLNKRHJGFDE58EA,71.28,0.0,0.0,無,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區青海路３２６號十二樓,12.23,住,,,1130901,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1120313,129.9,2,2,1,有,有,17300000,133179,坡道平面,49.04,0,含裝潢費；含傢俱設備費；,RPSOMLMJRHJGFAE18DA,47.66,0.0,4.12,有,
苓雅區,房地(土地+建物),高雄市苓雅區武嶺街１３巷１４號,40.0,住,,,1130901,土地1建物1車位0,全,二層,透天厝,,加強磚造,0600828,53.57,3,2,2,有,無,1680000,31361,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPJRHJGFBE18DA,53.57,0.0,0.0,無,
苓雅區,土地,過田子段1108-2地號,5.0,都市：其他:道路用地,,,1130911,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,595000,119000,,0.0,0,包含公共設施保留地用地；,RPPNMLMKRHJGFBE97DA,0.0,0.0,0.0,無,
三民區,房地(土地+建物),高雄市三民區建國二路６２之９號,17.32,商,,,1130907,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0641212,55.53,1,1,1,有,無,4200000,75635,,0.0,0,,RPQNMLTJRHJGFDE88DA,55.53,0.0,0.0,無,
三民區,房地(土地+建物),高雄市三民區壽昌路２９７號七樓之１２,5.32,住,,,1130904,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850304,30.78,1,1,1,有,有,2000000,64977,,0.0,0,陽台外推；,RPQNMLTKRHJGFDE98DA,16.33,0.0,4.98,有,
楠梓區,土地,高昌段162-5地號,22.66,住,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2580000,113857,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWOMLTJRHJGFEE07DA,0.0,0.0,0.0,無,
梓官區,房地(土地+建物),高雄市梓官區信義路７１號,71.78,住,,,1130901,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0720318,122.78,6,2,3,有,無,8320000,67763,,0.0,0,,RPVNMLQJRHJGFFE66DA,122.78,0.0,0.0,無,
鳳山區,土地,五甲段1088-33地號,11.0,,,,1130911,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,54545,,0.0,0,,RPTNMLLKRHJGFGE78DA,0.0,0.0,0.0,無,
茂林區,土地,萬山段413地號,6750.0,,森林區,林業用地,1130911,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,360000,53,,0.0,0,,RPQNMLTKRHJGFKE07DA,0.0,0.0,0.0,無,
仁武區,房地(土地+建物),高雄市仁武區名山七街１１１號,58.54,住,,,1130906,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0990813,101.55,4,1,3,有,無,7500000,73855,,0.0,0,,RPPNMLQKRHJGFIE56EA,95.19,0.72,5.63,無,
鼓山區,房地(土地+建物),高雄市鼓山區中華一路２２１１巷１６號,70.0,農,,,1130807,土地1建物1車位0,全,二層,透天厝,,加強磚造,0570222,80.91,3,2,2,有,無,15000000,185391,,0.0,0,增建：壹樓空地。本案買賣雙方約定登記規費、印花稅雙方各半。其他增建；,RPOOMLMLQHJGFAE87DA,80.91,0.0,0.0,無,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍德路４０５號十五樓,18.11,商,,,1130801,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940804,170.19,5,3,2,有,有,16200000,95188,坡道平面,18.02,0,含傢俱設備費；,RPPOMLSLQHJGFAE58DA,97.04,0.58,8.3,有,
前金區,房地(土地+建物),高雄市前金區六合二路１５１巷２號十一樓之１,6.43,商,,,1130810,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070712,80.12,2,2,1,有,有,9550000,119196,,0.0,0,,RPSNMLOJRHJGFAE28DA,44.97,0.0,10.01,有,0020
苓雅區,房地(土地+建物),高雄市苓雅區三多三路２２０號十一樓之１,16.77,商,,,1130808,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0710430,143.74,2,2,2,有,有,8500000,59135,,0.0,0,,RPPNMLKKQHJGFBE67DA,118.95,0.0,16.14,有,
苓雅區,房地(土地+建物),高雄市苓雅區三多四路１０６之７號四樓之６,3.81,商,,,1130801,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1121109,57.089999999999996,1,1,1,有,有,7250000,126992,,0.0,0,含傢俱設備費；,RPPNMLRKQHJGFBE38DA,33.14,0.0,3.34,有,0021
苓雅區,房地(土地+建物),高雄市苓雅區自強三路５號三十樓之２,1.33,商,,,1130808,土地2建物1車位0,三十層,八十五層,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0880401,34.9,1,0,1,有,有,1780000,51003,,0.0,0,含傢俱設備費；陽台外推；,RPWNMLPJRHJGFBE88DA,18.1,0.0,6.92,有,0022
前鎮區,房地(土地+建物),高雄市前鎮區滇池街４４巷１２號六樓之１,8.64,都市：其他:第二種特定商業專用區,,,1130827,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890824,38.01,1,1,1,有,有,3600000,94712,,0.0,0,夾層增建及陽台外推。含傢俱設備費；,RPTNMLTLQHJGFCE56DA,23.19,0.0,3.67,有,0023
小港區,房地(土地+建物),高雄市小港區鳳西街３７巷１號,86.0,住,,,1130811,土地1建物1車位0,全,三層,透天厝,商業用,鋼筋混凝土造,0731006,172.06,5,2,3,有,無,2640000,15343,,0.0,0,,RPROMLNJRHJGFCE38DA,167.71,0.0,4.35,無,
小港區,房地(土地+建物),高雄市小港區永順街１４４號,56.82,商,,,1130823,土地1建物1車位0,全,五層,透天厝,,鋼筋混凝土造,0720318,204.79,6,2,5,有,無,15500000,75687,,0.0,0,,RPOOMLOJRHJGFCE18DA,204.79,0.0,0.0,無,0024
小港區,房地(土地+建物)+車位,高雄市小港區高坪二十九路１８０號四樓,38.49,住,,,1130801,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土,1120502,125.67999999999999,3,2,2,有,有,10420000,82909,一樓平面,0.0,0,,RPQOMLTJRHJGFCE88DA,77.68,0.0,14.89,有,
三民區,房地(土地+建物),高雄市三民區民族一路７０２之３號十四樓之１,9.97,住,,,1130807,土地1建物1車位0,十四層，電梯樓梯間,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840906,117.59,3,2,2,有,有,7500000,63781,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLRJQHJGFDE58DA,94.69,0.0,9.34,有,
三民區,房地(土地+建物)+車位,高雄市三民區明仁路１６３號二十四樓,27.17,住,,,1130801,土地1建物1車位2,二十四層，夾層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960626,373.15,3,2,3,有,有,32000000,85756,坡道平面,52.42,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLRLQHJGFDE56DA,195.65,2.75,27.3,有,0025
三民區,房地(土地+建物),高雄市三民區鼎中路５３２巷３１號二樓,10.54,住,,,1130827,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0940113,33.98,1,1,1,有,有,2980000,87699,,0.0,0,夾層增建。含傢俱設備費；,RPOOMLTLQHJGFDE88DA,20.99,0.0,0.0,有,0026
三民區,土地,中華段一小段152地號,23.49,,,,1130808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2630698,111992,,0.0,0,包含公共設施保留地用地；,RPPOMLOJRHJGFDE38DA,0.0,0.0,0.0,無,0027
三民區,房地(土地+建物),高雄市三民區壽昌路１９７號十二樓,33.58,住,,,1130826,土地1建物1車位0,十二層，十三層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0850410,223.93,3,2,2,有,有,12480000,55732,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLNKRHJGFDE48DA,113.01,3.95,12.58,有,
楠梓區,房地(土地+建物),高雄市楠梓區楠梓西巷６８號四樓之２,20.66,住,,,1130804,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土,1050216,113.46000000000001,3,2,1,有,有,8700000,76679,,0.0,0,,RPRPMLNKQHJGFEE68DA,66.26,5.72,2.71,有,0028
左營區,房地(土地+建物),高雄市左營區果峰街４巷１號１１樓,27.55,住,,,1130805,土地2建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0741129,101.85,3,2,2,有,有,5050000,49583,,0.0,0,原議定成交價格為新台幣568萬元正，雙方同意賣方折讓63萬元予買方，賣方不負滲漏水等瑕疵擔保責任陽台外推；,RPPPMLOKQHJGFEE58DA,75.37,0.0,12.3,有,
左營區,土地,菜公段五小段1205-1地號,1.69,都市：其他:道路用地,,,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,50000,29586,,0.0,0,包含公共設施保留地用地；,RPWNMLQKQHJGFEE66DA,0.0,0.0,0.0,無,0029
左營區,土地,菜公段五小段1205-1地號,3.38,都市：其他:道路用地,,,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,29586,,0.0,0,包含公共設施保留地用地；,RPXNMLQKQHJGFEE76DA,0.0,0.0,0.0,無,0029
左營區,房地(土地+建物)+車位,高雄市左營區大中二路５２５號三樓,15.2,住,,,1130809,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1111216,171.93,3,2,2,有,有,17600000,113433,坡道平面,37.93,2400000,含裝潢,RPOOMLKLQHJGFEE08DA,67.53,4.15,14.7,有,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區惠民路２７３號,29.92,住,,,1130807,土地1建物1車位1,一層，二層,十五層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土,1100910,245.63,0,0,0,無,有,24800000,100965,坡道平面,44.11,0,,RPPOMLTLQHJGFEE09DA,151.16,0.0,0.0,有,
楠梓區,房地(土地+建物),高雄市楠梓區德賢路２８５號十八樓,8.65,住,,,1130806,土地1建物1車位0,十八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850112,110.39,3,2,2,有,有,7300000,66129,,0.0,0,含傢俱設備費；,RPVNMLKMQHJGFEE78DA,76.73,0.0,10.15,有,
左營區,房地(土地+建物),高雄市左營區大中二路２７６號十五樓,11.16,住,,,1130807,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960112,86.12,2,2,1,有,有,8000000,92894,,0.0,0,,RPPPMLPJRHJGFEE68DA,51.9,3.21,3.42,有,0031
