鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中壢區,房地(土地+建物)+車位,桃園市中壢區復華六街９號十樓,25.13,住,,,1130901,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011128,159.26,3,2,2,有,有,16880000,105990,坡道平面,31.38,0,,RPSOMLLKRHJGFBH58DA,83.91,0.0,10.12,有,0009
大溪區,土地,瑞興段615地號,453.39,,特定農業區,農牧用地,1130902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3428750,7562,,0.0,0,地上物由買方自行處理未登記建物；,RPTOMLTJRHJGFCH86DA,0.0,0.0,0.0,無,
龍潭區,土地,龍祥段517地號,62.23,,鄉村區,乙種建築用地,1130912,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1129200,18146,,0.0,0,,RPQNMLMKRHJGFCH48DA,0.0,0.0,0.0,無,0010
楊梅區,土地,新榮段483地號,21.12,住,,,1130905,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1236000,58523,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLNKRHJGFDH66DA,0.0,0.0,0.0,無,0011
觀音區,土地,新張段282-3地號,330.0,工,,,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13500000,40909,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMKRHJGFBH38EA,0.0,0.0,0.0,無,
中壢區,土地,興和段29地號,14.08,農,,,1130907,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,143598,10199,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVPMLTJRHJGFBH07DA,0.0,0.0,0.0,無,
中壢區,房地(土地+建物),桃園市中壢區華夏一村２００號,103.07,住,,,1130904,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0740108,110.14,5,2,2,有,無,9000000,81714,,0.0,0,未登記建物；,RPSNMLNKRHJGFBH68DA,102.34,3.9,3.9,無,
大溪區,土地,烏塗段1851地號,92.0,,山坡地保育區,農牧用地,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,480000,5217,,0.0,0,,RPUNMLOJRHJGFCH98DA,0.0,0.0,0.0,無,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區廣南路１３０號七樓之１,28.28,住,,,1130903,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801009,182.55,4,4,4,有,有,16000000,87647,坡道平面,0.0,0,,RPVNMLNKRHJGFGH86DA,124.46,0.0,0.0,有,
龜山區,房地(土地+建物),桃園市龜山區文化三路２９號八樓,8.85,商,,,1130902,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870430,75.95,4,0,4,有,有,11200000,147465,,0.0,0,陽台外推；,RPUOMLMJRHJGFHH76DA,45.66,3.76,6.73,有,
龜山區,土地,舊路坑二段1008地號,25.19,都市：其他:保護區,,,1130901,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,390000,15482,,0.0,0,,RPQNMLNKRHJGFHH56EA,0.0,0.0,0.0,無,
桃園區,土地,富國段452地號,297.46,住,,,1130902,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,82782000,278296,,0.0,0,地上建物及地上物皆屬本案買賣範圍內但不予計價。未登記建物；,RPXOMLNKRHJGFAH56DA,0.0,0.0,0.0,無,
中壢區,土地,健行段992地號,40.47,都市：其他:道路用地,,,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2179858,53864,,0.0,0,包含公共設施保留地用地；,RPPQMLQKRHJGFBH98DA,0.0,0.0,0.0,無,
中壢區,土地,三座屋段舊社小段132-138地號,17.0,都市：其他:道路用地,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,720000,42353,,0.0,0,包含公共設施保留地用地；,RPQNMLSKRHJGFBH98DA,0.0,0.0,0.0,無,
楊梅區,房地(土地+建物),桃園市楊梅區東森路９９號,209.19,,山坡地保育區,丙種建築用地,1130903,土地6建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0960315,337.97,4,2,3,有,有,20800000,61544,,0.0,0,,RPWNMLQKRHJGFDH96DA,309.09,0.0,28.88,無,
蘆竹區,土地,富宏段239地號,56.7,農,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3087000,54444,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQKRHJGFEH98DA,0.0,0.0,0.0,無,
蘆竹區,建物,桃園市蘆竹區富國路二段４２１號,0.0,,,,1130906,土地0建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,1020611,126.1,7,5,4,有,無,600000,4758,,0.0,0,建物坐落地號：富宏段235地號；親友、員工、共有人或其他特殊關係間之交易；,RPSNMLQKRHJGFEH66DA,126.1,0.0,0.0,無,
蘆竹區,車位,桃園市蘆竹區中正路２５號地下室,0.2,住,,,1130909,土地1建物1車位1,地下一層，地下二層,二十七層,其他,私設停車場,鋼筋混凝土造,0860122,39.99,0,0,0,無,有,1700000,,坡道平面,39.99,1700000,僅車位交易；,RPQRMLQKRHJGFEH86DA,0.0,0.0,0.0,有,
龜山區,房地(土地+建物),桃園市龜山區德明路４１之１號五樓,10.07,住,,,1130908,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920730,30.990000000000002,1,0,1,有,有,2550000,82285,,0.0,0,陽台外推；,RPPNMLKKRHJGFHH68DA,14.7,0.95,5.95,有,
桃園區,房地(土地+建物),桃園市桃園區國際路一段９８巷５２號十三樓之３,8.85,住,,,1130801,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840120,75.35,1,1,1,有,有,6380000,84672,,0.0,0,其他增建；,RPSQMLTJQHJGFAH66DA,51.61,4.41,4.65,有,
桃園區,車位,三民路一段１２１號等,0.48,住,,,1130807,土地1建物1車位1,,,其他,,,,28.92,0,0,0,無,有,1200000,,坡道平面,28.92,1200000,僅車位交易；,RPQNMLKLQHJGFAH08DA,0.0,0.0,0.0,有,0012
桃園區,土地,延壽段820地號,45.72,住,,,1130822,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1383000,30249,,0.0,0,未登記建物；,RPQPMLNJRHJGFAH48DA,0.0,0.0,0.0,無,
桃園區,房地(土地+建物),桃園市桃園區中埔一街３３９巷５號七樓,14.52,住,,,1130817,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881018,85.96000000000001,2,2,1,有,有,9700000,112843,,0.0,0,其他增建；,RPSOMLPJRHJGFAH78DA,57.51,1.41,3.65,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區五族二街１１９號,21.72,住,,,1130802,土地1建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1090210,128.72,2,1,1,有,有,21380000,166097,坡道平面,30.43,0,,RPTQMLQJQHJGFBH56DA,58.11,0.0,8.81,有,0013
中壢區,土地,中壢埔頂段1400-8地號,81.0,住,,,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11760000,145185,,0.0,0,未登記建物；,RPSNNLKLQHJGFBH48DA,0.0,0.0,0.0,無,
觀音區,房地(土地+建物),桃園市觀音區吉祥街８７號三樓,22.47,,工業區,丁種建築用地,1130810,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080515,83.25999999999999,3,2,2,有,有,5250000,63055,,0.0,0,,RPSQMLOJRHJGFBH98DA,64.93,0.0,5.15,有,0014
中壢區,房地(土地+建物)+車位,桃園市中壢區普義路１７１號六樓之２,27.53,住,,,1130802,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811124,178.73,4,2,2,有,有,12500000,69938,升降機械,0.0,0,,RPQOMLPJRHJGFBH68DA,105.88,0.0,15.39,有,0015
中壢區,房地(土地+建物),桃園市中壢區陸光五街２０號四樓,31.62,住,,,1130826,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0911114,213.10000000000002,4,1,2,有,有,2549583,11964,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUPMLPJRHJGFBH56DA,114.0,0.0,12.9,有,
觀音區,房地(土地+建物),桃園市觀音區新富路５８３號四樓,35.08,,特定農業區,甲種建築用地,1130804,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120720,125.77000000000001,3,2,2,有,有,9060000,72036,,0.0,0,預售屋、或土地及建物分件登記案件；,RPRQMLTJRHJGFBH76DA,80.39,0.0,8.61,有,
中壢區,土地,三座屋段舊社小段91-21地號,113.0,住,,,1130808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,16385000,145000,,0.0,0,未登記建物；,RPRRMLTJRHJGFBH86DA,0.0,0.0,0.0,無,
大溪區,房地(土地+建物)+車位,桃園市大溪區大鶯路１８１巷１３號,87.82,,特定農業區,甲種建築用地,1130815,土地3建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0841124,253.38000000000002,4,2,5,有,有,8500000,33546,坡道平面,0.0,0,,RPVNMLPJRHJGFCH56DA,179.3,16.39,19.92,無,
楊梅區,房地(土地+建物)+車位,桃園市楊梅區秀才路１０４巷１３號二樓,31.73,住,,,1130807,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121031,179.57999999999998,3,2,2,有,有,11900000,77131,坡道平面,46.69,1650000,,RPWPMLSLQHJGFDH37DA,82.89,0.0,4.66,有,
新屋區,土地,東勢段甲頭厝小段540-2地號,381.0,,特定農業區,甲種建築用地,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7500000,19685,,0.0,0,,RPXNMLQJRHJGFDH96DA,0.0,0.0,0.0,無,
楊梅區,土地,上田段449地號,908.98,,特定農業區,農牧用地,1130830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2817838,3100,,0.0,0,含土地增值稅或其他稅費；含仲介費；含地政士服務費；親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTJRHJGFDH09DA,0.0,0.0,0.0,無,0016
