鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
萬丹鄉,土地,萬惠段570-3地號,3.83,住,,,1130821,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,83500,21802,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXQMLPJRHJGFAT08DA,0.0,0.0,0.0,無,
萬丹鄉,土地,萬後段765-5地號,9.42,住,,,1130823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,413250,43869,,0.0,0,本案印花.登記費.代辦費等全部由買方負擔,RPORMLPJRHJGFAT27DA,0.0,0.0,0.0,無,
萬丹鄉,土地,萬後段765-1地號,35.78,住,,,1130826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1568900,43849,,0.0,0,,RPQRMLPJRHJGFAT47DA,0.0,0.0,0.0,無,
竹田鄉,土地,鳳明段1022地號,1979.0,,一般農業區,農牧用地,1130812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,18120000,9156,,0.0,0,農作物；,RPTNMLLKRHJGFCT27DA,0.0,0.0,0.0,無,
東港鎮,土地,東港段49-29地號,18.67,商,,,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4000000,214247,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLMJQHJGFDT27DA,0.0,0.0,0.0,無,
東港鎮,土地,興盛段330地號,61.5,住,,,1130803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,930000,15122,,0.0,0,,RPPNMLRLQHJGFDT57DA,0.0,0.0,0.0,無,
南州鄉,土地,同安段903地號,2649.79,,一般農業區,農牧用地,1130830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3445000,1300,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPQNMLNJRHJGFDT17DA,0.0,0.0,0.0,無,
新園鄉,土地,五族段972地號,1612.01,農,,,1130809,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,23894018,14822,,0.0,0,,RPUNMLTJRHJGFDT18DA,0.0,0.0,0.0,無,
東港鎮,房地(土地+建物),屏東縣東港鎮水源路３１２號,109.96,住,,,1130812,土地1建物1車位0,二層，三層，四層，見其他登記事項,四層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0940613,251.34,5,1,4,有,無,12500000,49733,,0.0,0,,RPSNMLKKRHJGFDT17DA,224.54,13.1,13.7,無,012
滿州鄉,土地,束段124-6地號,1872.0,,國家公園區,,1130810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,900000,481,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLMKRHJGFET27DA,0.0,0.0,0.0,無,
