編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLMLQHJGFAN98CC,30,115.09,住家用,鋼筋混凝土造,83年7月29日,十三層,,
RPQNMLMLQHJGFAN98CC,30,26.70,停車空間、避難室、梯間、會議室,鋼筋混凝土造,83年7月29日,十三層,,
RPRNMLKLQHJGFHN96CC,38,17.85,住家用,加強磚造,75年3月10日,二層,,
RPRNMLQLQHJGFAN86CC,48,58.66,住家用,加強磚造,65年5月13日,二層,,
RPPNMLQLQHJGFDN96CC,12,21.44,住家用,鋼筋混凝土造,101年5月25日,五層,,
RPPNMLQLQHJGFDN96CC,12,15.95,停車空間、住宅、樓梯間、水箱、機房,鋼筋混凝土造,101年5月25日,五層,,
RPQNMLQLQHJGFHN47CC,31,26.86,住家用,鋼筋混凝土造,82年7月2日,八層,,
RPPNMLQLQHJGFHN37CC,31,26.86,住家用,鋼筋混凝土造,82年7月2日,八層,,
RPQNMLQLQHJGFHN47CC,31,6.37,共同使用部份,鋼筋混凝土造,82年7月2日,八層,,
RPPNMLQLQHJGFHN37CC,31,6.37,共同使用部份,鋼筋混凝土造,82年7月2日,八層,,
RPVNMLRLQHJGFAN37CC,36,14.87,住家用,鋼筋混凝土造,77年12月31日,五層,,
RPWNMLRLQHJGFAN47CC,36,9.91,住家用,鋼筋混凝土造,77年12月31日,五層,,
RPPNMLRLQHJGFDN07CC,16,23.07,集合住宅,鋼筋混凝土造,97年8月6日,五層,,
RPXNMLRLQHJGFAN57CC,36,19.83,住家用,鋼筋混凝土造,77年12月31日,五層,,
RPPNMLRLQHJGFDN07CC,16,8.07,走廊、樓梯間、水箱、機械室,鋼筋混凝土造,97年8月6日,五層,,
RPSNMLSLQHJGFAN17CC,15,126.52,集合住宅,鋼筋混凝土造,98年8月21日,七層,,
