鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
彰化市,租賃房屋,彰化縣彰化市平和十三街７０巷２號８樓,0.0,,,,1130730,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830929,42.74,1,0,1,有,有,有,8500,199,,0.0,0,,RPQNMLPKQHJGFAN56CC,獨立套房,有,1130805~1140804,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,社會住宅代管
彰化市,租賃房屋,彰化縣彰化市延長街５２巷８號４樓之１５,0.0,,,,1130730,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950522,32.18,1,0,1,有,有,有,6500,202,,0.0,0,,RPRNMLPKQHJGFAN66CC,獨立套房,無,1130805~1140804,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,社會住宅包租轉租
線西鄉,租賃房屋,彰化縣線西鄉中央路三段１１９巷２１號,0.0,,,,1130730,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0700105,125.56,4,2,3,有,無,有,18000,143,,0.0,0,,RPPNMLPKQHJGFBN56CC,整棟(戶)出租,無,1130801~1140731,無,冷氣、熱水器、電視機,社會住宅代管
員林市,租賃房屋,彰化縣員林市中山路二段６０２號,270.73,工,,,1130814,土地2建物1車位0,見其他登記事項,2,工廠,住商用,加強磚造,0500312,36.19,0,0,0,無,無,無,52000,,,0.0,0,租金總額含稅；含有多個門牌且未個別計算租金彰化縣員林市中山路二段604號；含增建或未登記建物；,RPPNMLPKQHJGFDN76CC,,無,1130901~1160831,無,,
員林市,租賃房屋+車位,彰化縣員林市龍富二街１８號１４樓之３,0.0,,,,1130729,土地0建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120710,138.97,2,2,2,有,有,無,17500,142,坡道平面,29.45,2000,,RPQNMLPKQHJGFDN86CC,整棟(戶)出租,有,1130801~1140731,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
彰化市,租賃房屋,彰化縣彰化市曉陽路５８號７樓,60.5,住,,,1130810,土地1建物1車位0,七層,7,辦公商業大樓,辦公室,鋼筋混凝土造,0900305,184.1,0,0,1,有,無,有,28444,155,,0.0,0,租金總額含稅；管理費；含增建或未登記建物；續租案件；,RPPNMLQKQHJGFAN56CC,,無,1130901~1140831,有,,
鹿港鎮,土地,永安段3386地號,224.0,住,,,1130809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,35000,156,,0.0,0,,RPQNMLQKQHJGFCN86CC,,,1130813~1160907,,,
員林市,租賃房屋,彰化縣員林市育英路３７之２號４樓,0.0,,,,1130815,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770823,87.78999999999999,3,1,1,有,無,有,16000,182,,0.0,0,,RPPNMLQKQHJGFDN86CC,整棟(戶)出租,無,1130819~1140818,無,冷氣、熱水器、洗衣機、冰箱,一般代管
彰化市,租賃房屋+車位,彰化縣彰化市孝德街２４巷７號六樓,0.0,,,,1130723,土地0建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830823,123.19,3,2,2,有,有,有,15000,122,坡道機械,0.0,0,車位面積無法分算。,RPPNMLSKQHJGFAN76CC,整棟(戶)出租,有,1130801~1140731,有,冷氣、熱水器、洗衣機、電視機、冰箱,
彰化市,租賃房屋,彰化縣彰化市三民路３６１號,0.0,,,,1130727,土地0建物0車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0610719,43.2,6,1,3,有,無,有,6000,139,,0.0,0,,RPQNMLSKQHJGFAN86CC,分租套房,無,1130801~1150801,無,冷氣、熱水器,
